#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	298889	1219816	96.2165	35.0981	35.9	12.7
NC_006833.1	1	1080084	475	31683	2.93338	0.054431	35.8	16.9
NC_012416.1	1	1445873	81539	822929	56.9157	8.27472	35.9	6.95
NC_010981.1	1	1482455	98509	1245157	83.9929	9.62896	35.9	13.9
NC_018267.1	1	957990	128	10578	1.10419	0.0156703	35.8	4.48
NC_021084.1	1	1301823	98096	1146122	88.0398	11.0732	35.9	15.4
NC_021089.1	1	1295804	81650	726759	56.0856	9.2198	35.9	7.62
NZ_HG810405.1	1	960618	638	11210	1.16696	0.0348526	35.5	9.54
NZ_AP013028.1	1	1250060	2474	87973	7.0375	0.259129	35.9	12
NZ_CM003641.1	1	1133809	3882	143960	12.697	0.482284	35.9	15.7
NZ_CP031221.1	1	1484007	32300	575313	38.7675	3.13188	35.9	11.2
NZ_CP037426.1	1	1352354	86637	855487	63.2591	9.38919	35.9	5.73
