#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	716	73981	5.83547	0.0840058	36.1	12.3
NC_006833.1	1	1080084	118	552	0.0511071	0.00910022	36.1	18.3
NC_012416.1	1	1445873	173	20588	1.42391	0.0173978	35.9	3.51
NC_010981.1	1	1482455	48	2878	0.194137	0.00306384	35.7	8.42
NC_018267.1	1	957990	5	241	0.0251568	0.000416497	36.5	4.4
NC_021084.1	1	1301823	38	1733	0.133121	0.00308106	36.4	13.6
NC_021089.1	1	1295804	164	17484	1.34928	0.0177342	35.9	3.79
NZ_HG810405.1	1	960618	351	649	0.0675607	0.0132311	35.6	10.7
NZ_AP013028.1	1	1250060	18	400	0.0319985	0.000879958	36.3	2.67
NZ_CM003641.1	1	1133809	18	172	0.0151701	0.000762033	36.1	0
NZ_CP031221.1	1	1484007	22	1612	0.108625	0.00152021	36.3	8.55
NZ_CP037426.1	1	1352354	201	21079	1.55869	0.0206913	36	3.54
