#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	3823	37307	2.9427	0.307227	36.1	1.93
NC_006833.1	1	1080084	4234	6650	0.615693	0.374904	36.2	1.75
NC_012416.1	1	1445873	3825	43075	2.97917	0.271235	36.1	1.66
NC_010981.1	1	1482455	64682	1142223	77.0494	6.41671	35.9	15.8
NC_018267.1	1	957990	9185	4569	0.476936	0.865883	36.1	0.0405
NC_021084.1	1	1301823	11495	272875	20.961	1.15382	36	7.73
NC_021089.1	1	1295804	7292	33628	2.59515	0.590115	36	3.4
NZ_HG810405.1	1	960618	9928	4032	0.41973	0.898448	36.1	1.4
NZ_AP013028.1	1	1250060	5447	13430	1.07435	0.404043	35.9	6.4
NZ_CM003641.1	1	1133809	4353	91760	8.09307	0.43514	35.9	8.35
NZ_CP031221.1	1	1484007	11605	359712	24.2392	1.08648	35.9	7.7
NZ_CP037426.1	1	1352354	4260	45199	3.34225	0.325339	36.1	2.51
