#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	85	1761	0.138904	0.00483837	35	1.2
NC_006833.1	1	1080084	231	1098	0.101659	0.0104992	35.4	1.46
NC_012416.1	1	1445873	87	2710	0.18743	0.00452806	35.4	3.66
NC_010981.1	1	1482455	368	23556	1.58899	0.0281209	35.2	12.1
NC_018267.1	1	957990	64	1147	0.11973	0.00447499	35.9	5.44
NC_021084.1	1	1301823	124	4562	0.350432	0.0076293	35.3	6.99
NC_021089.1	1	1295804	93	2517	0.194242	0.00486725	35.6	5.57
NZ_HG810405.1	1	960618	4553	1538	0.160105	0.152803	35.1	8.42
NZ_AP013028.1	1	1250060	227	1589	0.127114	0.00930675	35.4	0.749
NZ_CM003641.1	1	1133809	234	1867	0.164666	0.0106473	35.3	1.2
NZ_CP031221.1	1	1484007	1567	4868	0.328031	0.0481602	35.8	1.97
NZ_CP037426.1	1	1352354	260	2217	0.163936	0.0101098	35.7	1.34
