#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	2	94	0.00741452	0.000124627	36.8	2
NC_006833.1	1	1080084	20	43	0.00398117	0.000787902	35.9	0
NC_021089.1	1	1295804	2	43	0.0033184	6.63681e-05	36.7	0
NZ_HG810405.1	1	960618	112	58	0.00603778	0.00407654	35.4	12.2
NZ_AP013028.1	1	1250060	6	43	0.00343983	0.00020639	36.4	0
NZ_CM003641.1	1	1133809	12	43	0.00379253	0.000446283	35.8	0
NZ_CP037426.1	1	1352354	10	43	0.00317964	0.000313527	36.1	0
NC_012416.1	1	1445873	0	0	0	0	0	0
NC_010981.1	1	1482455	0	0	0	0	0	0
NC_018267.1	1	957990	0	0	0	0	0	0
NC_021084.1	1	1301823	0	0	0	0	0	0
NZ_CP031221.1	1	1484007	0	0	0	0	0	0
