#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	70	1442	0.113742	0.00439981	35.9	0.143
NC_006833.1	1	1080084	183	1369	0.126749	0.00885579	35.7	3.78
NC_012416.1	1	1445873	106	1571	0.108654	0.00545069	35.5	1.36
NC_010981.1	1	1482455	57	1167	0.0787208	0.00320077	35.4	2.53
NC_018267.1	1	957990	171	1996	0.208353	0.012401	35.1	3.59
NC_021084.1	1	1301823	86	1282	0.0984773	0.00450829	35.9	1.76
NC_021089.1	1	1295804	50	414	0.0319493	0.00201188	35.7	0.92
NZ_HG810405.1	1	960618	2756	1837	0.191231	0.101585	35.1	10.2
NZ_AP013028.1	1	1250060	236	1814	0.145113	0.0109755	35.3	2.27
NZ_CM003641.1	1	1133809	179	1529	0.134855	0.00899446	36	1.16
NZ_CP031221.1	1	1484007	130	1723	0.116105	0.00590563	35.1	1.26
NZ_CP037426.1	1	1352354	201	1739	0.128591	0.00826559	35.4	1.12
