#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	8	43	0.00339175	0.00027134	36.1	0
NC_006833.1	1	1080084	4	43	0.00398117	0.000157395	36.6	0
NC_012416.1	1	1445873	2	235	0.0162532	0.000162532	36.2	0
NC_018267.1	1	957990	39	234	0.0244261	0.00317749	36	0
NC_021084.1	1	1301823	8	298	0.022891	0.000416339	36.6	1
NC_021089.1	1	1295804	4	43	0.0033184	0.000131964	36.2	0
NZ_HG810405.1	1	960618	280	681	0.0708919	0.012569	35.6	11.2
NZ_AP013028.1	1	1250060	4	43	0.00343983	0.000132794	36.3	0
NZ_CM003641.1	1	1133809	8	163	0.0143763	0.000358085	36.2	0.5
NZ_CP031221.1	1	1484007	6	89	0.00599728	0.000170484	34.5	0.667
NZ_CP037426.1	1	1352354	2	43	0.00317964	6.28534e-05	34	0
NC_010981.1	1	1482455	0	0	0	0	0	0
