#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	305	3752	0.29595	0.0251266	36.2	0.826
NC_006833.1	1	1080084	444	2854	0.264239	0.038585	35.9	3.28
NC_012416.1	1	1445873	232	2659	0.183903	0.0162324	36.3	0.491
NC_010981.1	1	1482455	155	2668	0.179972	0.0121643	36	0.684
NC_018267.1	1	957990	433	2766	0.28873	0.0454786	36.1	0.697
NC_021084.1	1	1301823	144	2628	0.201871	0.0124203	36.2	3.76
NC_021089.1	1	1295804	71	2263	0.174641	0.00528321	35.9	0.423
NZ_HG810405.1	1	960618	9415	2896	0.301473	0.383295	35.2	12.2
NZ_AP013028.1	1	1250060	453	3315	0.265187	0.0365414	36.3	2.79
NZ_CM003641.1	1	1133809	223	2984	0.263184	0.0210944	36.1	0.888
NZ_CP031221.1	1	1484007	142	2447	0.164891	0.00990427	36.2	0.887
NZ_CP037426.1	1	1352354	230	3185	0.235515	0.016648	36.1	0.313
