#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	16	759	0.0598683	0.00107984	35.8	0
NC_006833.1	1	1080084	28	387	0.0358305	0.00131101	36.2	0.143
NC_012416.1	1	1445873	16	743	0.0513876	0.00119928	35.9	0
NC_010981.1	1	1482455	22	1296	0.0874226	0.00173833	36.5	6
NC_018267.1	1	957990	28	968	0.101045	0.00325369	35.6	0.143
NC_021084.1	1	1301823	8	407	0.0312639	0.000672134	35.8	1.5
NC_021089.1	1	1295804	6	261	0.0201419	0.000329525	33.8	0
NZ_HG810405.1	1	960618	217	963	0.100248	0.00851535	35.6	9.7
NZ_AP013028.1	1	1250060	18	685	0.0547974	0.000959154	36.4	0.222
NZ_CM003641.1	1	1133809	22	476	0.0419824	0.00106014	35.6	0.182
NZ_CP031221.1	1	1484007	28	1233	0.0830859	0.0015977	35.6	10.6
NZ_CP037426.1	1	1352354	40	1016	0.0751283	0.00206972	36.1	1.05
