#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	12	628	0.0495353	0.00068466	34.9	0.333
NC_006833.1	1	1080084	10	250	0.0231463	0.000692539	36.1	0.4
NC_012416.1	1	1445873	11	641	0.0443331	0.000603787	33.9	6
NC_010981.1	1	1482455	6	43	0.00290059	0.000174036	35.2	0
NC_018267.1	1	957990	20	978	0.102089	0.00182257	36.4	0.2
NC_021084.1	1	1301823	4	43	0.00330306	0.000130586	34.4	0
NC_021089.1	1	1295804	10	572	0.0441425	0.000574161	36.1	0.4
NZ_HG810405.1	1	960618	618	768	0.0799485	0.0237191	35.3	13.2
NZ_AP013028.1	1	1250060	26	575	0.0459978	0.00163512	36.2	1.08
NZ_CM003641.1	1	1133809	14	417	0.0367787	0.000946368	35.6	1.14
NZ_CP031221.1	1	1484007	31	197	0.0132749	0.000833554	34.4	11.2
NZ_CP037426.1	1	1352354	20	965	0.0713571	0.00136946	36.5	0
