#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	61	1542	0.12163	0.00488491	36.3	1.57
NC_006833.1	1	1080084	106	2075	0.192115	0.0103927	36.2	2.79
NC_012416.1	1	1445873	63	1773	0.122625	0.00461244	35.7	0
NC_010981.1	1	1482455	35	1394	0.0940332	0.0022827	35.9	1.37
NC_018267.1	1	957990	130	2048	0.213781	0.0142298	36.3	0.0462
NC_021084.1	1	1301823	41	1775	0.136347	0.00319321	36.2	2.44
NC_021089.1	1	1295804	14	915	0.0706125	0.00098163	36.4	0.857
NZ_HG810405.1	1	960618	446	2448	0.254836	0.0252046	35.9	8.41
NZ_AP013028.1	1	1250060	106	2553	0.20423	0.00783402	36.3	2.98
NZ_CM003641.1	1	1133809	18	1396	0.123125	0.00172075	36.5	0.444
NZ_CP031221.1	1	1484007	23	1192	0.0803231	0.00121158	36	3.83
NZ_CP037426.1	1	1352354	151	2077	0.153584	0.00943244	36.2	6.81
