#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	466	15088	1.19011	0.0453485	36.1	3.53
NC_006833.1	1	1080084	314	2273	0.210447	0.0295347	36.2	1.96
NC_012416.1	1	1445873	563	19683	1.36132	0.0505847	36	3.56
NC_010981.1	1	1482455	16357	867851	58.5415	1.63425	36	16.1
NC_018267.1	1	957990	309	2662	0.277873	0.0346841	36.4	2.06
NC_021084.1	1	1301823	1875	130182	9.99998	0.207027	36	11.1
NC_021089.1	1	1295804	542	19277	1.48765	0.0548887	36.1	9.09
NZ_HG810405.1	1	960618	1084	2179	0.226833	0.0603278	35.7	11.7
NZ_AP013028.1	1	1250060	482	5502	0.440139	0.0403197	36	3.61
NZ_CM003641.1	1	1133809	691	40308	3.5551	0.0817475	36.1	11
NZ_CP031221.1	1	1484007	2375	165910	11.1799	0.231306	36	9.63
NZ_CP037426.1	1	1352354	652	22258	1.64587	0.0582924	36.1	4.74
