#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	69	7367	0.581094	0.00720313	35.1	6.29
NC_006833.1	1	1080084	22	814	0.0753645	0.00192855	35.8	1.55
NC_012416.1	1	1445873	19	2173	0.15029	0.00177263	35	0.474
NC_010981.1	1	1482455	48	4750	0.320414	0.00471313	35	20.8
NC_018267.1	1	957990	19	1070	0.111692	0.0024113	35.3	0.105
NC_021084.1	1	1301823	10	781	0.0599928	0.000867245	35.5	10
NC_021089.1	1	1295804	28	2559	0.197484	0.0026663	35	8
NZ_HG810405.1	1	960618	38	920	0.0957717	0.00204452	35.7	7.37
NZ_AP013028.1	1	1250060	6	258	0.020639	0.000489577	36	8.67
NZ_CM003641.1	1	1133809	8	282	0.0248719	0.000760269	36.2	16.5
NZ_CP031221.1	1	1484007	132	838	0.0564687	0.00413138	35.7	1.58
NZ_CP037426.1	1	1352354	22	2053	0.151809	0.00189004	35	1.36
