#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	9	524	0.041332	0.000603416	35.7	0.222
NC_006833.1	1	1080084	90	1546	0.143137	0.00647913	35.3	8.13
NC_012416.1	1	1445873	11	713	0.0493128	0.000897036	36.5	0
NC_010981.1	1	1482455	5	344	0.0232048	0.000286687	36.6	0.8
NC_018267.1	1	957990	26	825	0.0861178	0.0026566	34.7	3.38
NC_021084.1	1	1301823	2	253	0.0194343	0.000194343	36.5	2
NC_021089.1	1	1295804	17	549	0.0423675	0.00105803	36.5	0.118
NZ_HG810405.1	1	960618	15332	972	0.101185	0.499905	34	21.4
NZ_AP013028.1	1	1250060	26	855	0.0683967	0.00188391	35.8	1.08
NZ_CM003641.1	1	1133809	18	91	0.00802604	0.000687065	36.2	0
NZ_CP031221.1	1	1484007	89	595	0.0400942	0.00292115	34.1	3.64
NZ_CP037426.1	1	1352354	25	1046	0.0773466	0.0014227	36.3	0.08
