#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	1779	48971	3.86273	0.193874	36	7.14
NC_006833.1	1	1080084	76	4643	0.429874	0.00763367	35.9	18.7
NC_012416.1	1	1445873	2982	63635	4.40115	0.291907	36	8.34
NC_010981.1	1	1482455	98553	1194817	80.5972	9.85899	35.9	16.2
NC_018267.1	1	957990	20	1517	0.158352	0.00196244	35.4	2.5
NC_021084.1	1	1301823	13470	342096	26.2782	1.49677	36	11.4
NC_021089.1	1	1295804	3384	50499	3.89712	0.36416	35.9	9.93
NZ_HG810405.1	1	960618	204	3288	0.34228	0.0100883	35.8	9.36
NZ_AP013028.1	1	1250060	312	11000	0.879958	0.0320849	35.8	15.4
NZ_CM003641.1	1	1133809	3314	113420	10.0034	0.421094	35.9	14.3
NZ_CP031221.1	1	1484007	16283	432826	29.166	1.60716	35.9	9.84
NZ_CP037426.1	1	1352354	4750	73179	5.41123	0.497328	36	8.35
