#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	1830	74707	5.89273	0.203078	35.5	16.7
NC_006833.1	1	1080084	130	6634	0.614211	0.0128925	35.6	18.3
NC_012416.1	1	1445873	2143	98880	6.83877	0.211105	35.5	7.59
NC_010981.1	1	1482455	41315	1126330	75.9773	4.1364	35.5	16.2
NC_018267.1	1	957990	87	3780	0.394576	0.00934561	34.9	1.43
NC_021084.1	1	1301823	5415	248616	19.0975	0.605917	35.5	10.9
NC_021089.1	1	1295804	1071	48998	3.78128	0.114389	35.5	7.87
NZ_HG810405.1	1	960618	93	3449	0.35904	0.0080063	35.2	6
NZ_AP013028.1	1	1250060	158	7872	0.62973	0.0141313	35.6	10.9
NZ_CM003641.1	1	1133809	1145	60157	5.30574	0.143193	35.2	16.5
NZ_CP031221.1	1	1484007	6227	289673	19.5197	0.609052	35.4	11.1
NZ_CP037426.1	1	1352354	1965	72090	5.3307	0.196506	35.4	12.6
