#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_006833.1	1	1080084	14	676	0.0625877	0.000906411	36	3.71
NC_012416.1	1	1445873	6	175	0.0121034	0.000209562	36.4	0
NC_010981.1	1	1482455	2	30	0.00202367	4.04734e-05	36.8	0
NC_018267.1	1	957990	9	156	0.0162841	0.000566812	36.1	0
NC_021084.1	1	1301823	6	211	0.016208	0.000260404	36	0
NC_021089.1	1	1295804	4	102	0.00787156	0.000136595	35.9	0
NZ_HG810405.1	1	960618	253	470	0.0489268	0.00974997	35.4	9.78
NZ_AP013028.1	1	1250060	6	43	0.00343983	0.00020639	35.5	0
NZ_CM003641.1	1	1133809	8	43	0.00379253	0.000287526	35.9	0
NZ_CP031221.1	1	1484007	6	43	0.00289756	0.000173854	35.4	0
NZ_CP037426.1	1	1352354	13	43	0.00317964	0.000411135	36.1	0
NC_002978.6	1	1267782	0	0	0	0	0	0
