#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	1328	60883	4.80232	0.146646	35.9	16
NC_006833.1	1	1080084	168	6747	0.624674	0.016595	36.1	11.9
NC_012416.1	1	1445873	1728	91385	6.3204	0.170507	35.8	8.94
NC_010981.1	1	1482455	32272	1095185	73.8764	3.23007	35.8	16.5
NC_018267.1	1	957990	109	2565	0.267748	0.0119845	36.1	0.11
NC_021084.1	1	1301823	4882	230160	17.6798	0.542489	35.8	11.1
NC_021089.1	1	1295804	852	41548	3.20635	0.0924268	35.7	7.96
NZ_HG810405.1	1	960618	175	2585	0.269098	0.0143054	35.9	5.06
NZ_AP013028.1	1	1250060	245	8613	0.689007	0.0238069	35.7	12.3
NZ_CM003641.1	1	1133809	1295	60920	5.37304	0.159155	35.7	16.1
NZ_CP031221.1	1	1484007	4982	264871	17.8484	0.487608	35.8	11.3
NZ_CP037426.1	1	1352354	1464	58600	4.33318	0.146729	35.8	13.2
