#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	750	42871	3.38158	0.0819755	36	16.9
NC_006833.1	1	1080084	88	2180	0.201836	0.00748645	35.7	12.8
NC_012416.1	1	1445873	1022	67116	4.6419	0.101326	35.9	9.09
NC_010981.1	1	1482455	20863	982142	66.251	2.08644	35.9	16.6
NC_018267.1	1	957990	34	1965	0.205117	0.00384868	36.3	1.88
NC_021084.1	1	1301823	3383	184503	14.1727	0.375235	35.9	11.1
NC_021089.1	1	1295804	445	30583	2.36016	0.0478907	35.9	7.76
NZ_HG810405.1	1	960618	123	2544	0.26483	0.00713603	35.6	7.06
NZ_AP013028.1	1	1250060	100	4634	0.370702	0.0100107	36.1	13.2
NZ_CM003641.1	1	1133809	809	43045	3.79649	0.101007	35.9	19
NZ_CP031221.1	1	1484007	3421	209352	14.1072	0.335162	35.8	11
NZ_CP037426.1	1	1352354	993	49386	3.65185	0.0993024	35.9	12.5
