#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	2	43	0.00339175	6.7835e-05	35.3	0
NC_021084.1	1	1301823	4	87	0.00668294	0.000122905	35.8	0
NC_021089.1	1	1295804	2	182	0.0140453	0.000140453	36.4	2
NZ_HG810405.1	1	960618	266	226	0.0235265	0.0096896	35.2	10.8
NZ_AP013028.1	1	1250060	2	192	0.0153593	0.000153593	30.6	2
NZ_CM003641.1	1	1133809	6	43	0.00379253	0.000227552	35.5	0
NZ_CP031221.1	1	1484007	2	43	0.00289756	5.79512e-05	36.7	0
NZ_CP037426.1	1	1352354	26	108	0.00798607	0.00128738	35.7	17.4
NC_006833.1	1	1080084	0	0	0	0	0	0
NC_012416.1	1	1445873	0	0	0	0	0	0
NC_010981.1	1	1482455	0	0	0	0	0	0
NC_018267.1	1	957990	0	0	0	0	0	0
