#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	143	2430	0.191673	0.0091388	35.4	0.434
NC_006833.1	1	1080084	293	2406	0.22276	0.0166515	35.6	3.86
NC_012416.1	1	1445873	141	1879	0.129956	0.00731185	35.4	0.908
NC_010981.1	1	1482455	235	8773	0.591789	0.0148881	35.1	6.38
NC_018267.1	1	957990	228	2105	0.219731	0.0214031	35.6	0.272
NC_021084.1	1	1301823	129	2709	0.208093	0.00863558	35.4	2.06
NC_021089.1	1	1295804	93	2005	0.15473	0.00491046	35.5	2.02
NZ_HG810405.1	1	960618	1408	2293	0.238701	0.0569175	35.4	7.11
NZ_AP013028.1	1	1250060	438	2620	0.20959	0.0223557	35.3	4.23
NZ_CM003641.1	1	1133809	276	2233	0.196947	0.0154779	35.7	0.435
NZ_CP031221.1	1	1484007	535	2447	0.164891	0.01876	35.6	1.64
NZ_CP037426.1	1	1352354	287	2411	0.178282	0.0134536	35.5	0.265
