#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	2	43	0.00339175	6.7835e-05	36.7	0
NC_006833.1	1	1080084	28	513	0.0474963	0.00154618	34.5	11.6
NC_012416.1	1	1445873	6	217	0.0150082	0.000237919	36.2	0
NC_010981.1	1	1482455	2	43	0.00290059	5.80119e-05	36.2	0
NC_018267.1	1	957990	27	204	0.0212946	0.00108561	35.2	16.3
NC_021084.1	1	1301823	2	43	0.00330306	6.60612e-05	36.3	0
NC_021089.1	1	1295804	6	43	0.0033184	0.000197561	36.8	0
NZ_HG810405.1	1	960618	3226	115	0.0119715	0.117965	35.1	12.7
NZ_AP013028.1	1	1250060	8	43	0.00343983	0.000275187	36.4	0
NZ_CM003641.1	1	1133809	10	43	0.00379253	0.000377489	36	0
NZ_CP031221.1	1	1484007	32	216	0.0145552	0.000975063	34.2	1.53
NZ_CP037426.1	1	1352354	12	249	0.0184123	0.00064702	36.6	0
