#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	915	47677	3.76066	0.0976793	35.8	3.63
NC_006833.1	1	1080084	158	5254	0.486444	0.0157497	35.9	7.99
NC_012416.1	1	1445873	1431	69829	4.82954	0.142149	35.8	2.58
NC_010981.1	1	1482455	6397	327855	22.1157	0.618478	35.7	10.9
NC_018267.1	1	957990	143	3293	0.343741	0.0149782	36.2	0.993
NC_021084.1	1	1301823	30620	1011531	77.7011	3.48791	35.7	16.8
NC_021089.1	1	1295804	1612	51899	4.00516	0.173323	35.7	7.35
NZ_HG810405.1	1	960618	568	3128	0.325624	0.0303888	35.8	5.85
NZ_AP013028.1	1	1250060	307	21541	1.7232	0.0298298	36	3.75
NZ_CM003641.1	1	1133809	840	53075	4.68112	0.102643	35.7	14.2
NZ_CP031221.1	1	1484007	4382	218208	14.704	0.425429	35.7	9.51
NZ_CP037426.1	1	1352354	1583	52751	3.90068	0.159991	35.8	12.5
