#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	506605	1203898	94.961	59.6293	35.9	13
NC_006833.1	1	1080084	531	42003	3.88886	0.060873	35.8	16.1
NC_012416.1	1	1445873	114065	797141	55.1322	11.6421	36	6.43
NC_010981.1	1	1482455	18408	152114	10.261	1.73741	35.9	9.18
NC_018267.1	1	957990	167	12651	1.32058	0.0207236	35.8	4.05
NC_021084.1	1	1301823	10979	87113	6.69162	1.19524	35.9	11.5
NC_021089.1	1	1295804	109676	731096	56.4203	12.5612	35.9	5.66
NZ_HG810405.1	1	960618	838	16377	1.70484	0.0450158	35.5	9.71
NZ_AP013028.1	1	1250060	1759	52786	4.22268	0.174417	36	19.8
NZ_CM003641.1	1	1133809	781	35115	3.09708	0.0936551	35.8	12.4
NZ_CP031221.1	1	1484007	10812	80501	5.42457	1.04832	35.9	13.5
NZ_CP037426.1	1	1352354	125660	838832	62.0275	13.7669	35.9	4.57
