#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	16	708	0.0558456	0.00142454	36.3	0.25
NC_006833.1	1	1080084	19	541	0.0500887	0.00176653	36.5	5.68
NC_012416.1	1	1445873	10	654	0.0452322	0.000764244	36	0
NC_010981.1	1	1482455	6	482	0.0325136	0.000366959	36.4	0.667
NC_018267.1	1	957990	40	1615	0.168582	0.00399482	36.3	0
NC_021084.1	1	1301823	15	637	0.0489314	0.00100474	35.7	6.93
NC_021089.1	1	1295804	8	347	0.0267787	0.000413643	36.5	0
NZ_HG810405.1	1	960618	268	736	0.0766173	0.0116446	35.8	10
NZ_AP013028.1	1	1250060	36	876	0.0700766	0.00254308	35.8	5.89
NZ_CM003641.1	1	1133809	12	582	0.0513314	0.000798194	36.4	0
NZ_CP031221.1	1	1484007	4	456	0.0307276	0.000307276	36.6	0
NZ_CP037426.1	1	1352354	84	926	0.0684732	0.00498168	35.8	11.5
