#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	4	338	0.0266607	0.000300525	36.4	0.5
NC_006833.1	1	1080084	12	535	0.0495332	0.000974924	36	1
NC_012416.1	1	1445873	19	1432	0.0990405	0.00154025	35.4	11.9
NC_010981.1	1	1482455	144	14478	0.976623	0.0136119	35.1	15.4
NC_018267.1	1	957990	9	592	0.0617961	0.000990616	33.9	0
NC_021084.1	1	1301823	43	3951	0.303497	0.00486241	35.3	12.1
NC_021089.1	1	1295804	10	1114	0.0859698	0.000965424	34.6	5.4
NZ_HG810405.1	1	960618	17	225	0.0234224	0.000684976	34.1	4.35
NZ_AP013028.1	1	1250060	1	54	0.00431979	4.31979e-05	36.3	0
NZ_CM003641.1	1	1133809	6	338	0.029811	0.000410122	35.6	7
NZ_CP031221.1	1	1484007	40	2321	0.156401	0.0022756	35.7	5.75
NZ_CP037426.1	1	1352354	12	937	0.0692866	0.00101009	36	4
