#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	4678	56418	4.45013	0.508437	35.9	6.83
NC_006833.1	1	1080084	242	14148	1.3099	0.0243342	35.6	20.4
NC_012416.1	1	1445873	5457	71696	4.95867	0.533736	35.9	6.96
NC_010981.1	1	1482455	356479	1228958	82.9002	35.7121	35.8	16.1
NC_018267.1	1	957990	48	4828	0.503972	0.0057391	35.4	6.83
NC_021084.1	1	1301823	40650	439223	33.7391	4.52208	35.8	11.7
NC_021089.1	1	1295804	8389	57927	4.47035	0.889337	35.9	10.7
NZ_HG810405.1	1	960618	684	6339	0.659888	0.0305106	35.3	10.3
NZ_AP013028.1	1	1250060	1033	21876	1.75	0.108431	35.8	18.8
NZ_CM003641.1	1	1133809	12024	171024	15.084	1.52486	35.8	14.1
NZ_CP031221.1	1	1484007	51697	553920	37.326	5.10232	35.8	9.76
NZ_CP037426.1	1	1352354	7352	75797	5.60482	0.735981	35.8	7.7
