#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	36	1200	0.0946535	0.00258325	36.5	0.0556
NC_006833.1	1	1080084	80	970	0.0898078	0.00643839	35.8	12.7
NC_012416.1	1	1445873	47	946	0.0654276	0.00279278	36.4	0.0426
NC_010981.1	1	1482455	24	997	0.0672533	0.00182603	36.3	0
NC_018267.1	1	957990	104	1738	0.181422	0.0109354	36.4	0.0385
NC_021084.1	1	1301823	22	877	0.0673671	0.00164999	36.4	0.545
NC_021089.1	1	1295804	13	669	0.0516282	0.000943816	35.9	0
NZ_HG810405.1	1	960618	781	1527	0.15896	0.0337377	35.4	11.9
NZ_AP013028.1	1	1250060	78	1598	0.127834	0.00472137	36.1	4.82
NZ_CM003641.1	1	1133809	30	673	0.0593574	0.00243515	36.5	0
NZ_CP031221.1	1	1484007	171	1010	0.068059	0.00616102	34	3.49
NZ_CP037426.1	1	1352354	89	2096	0.154989	0.00686137	35.8	1.33
