#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	2833	49892	3.93538	0.306632	36	7
NC_006833.1	1	1080084	102	5740	0.53144	0.0105733	35.6	19.5
NC_012416.1	1	1445873	3498	60520	4.18571	0.344456	36	6.45
NC_010981.1	1	1482455	199299	1220008	82.2965	19.9576	35.9	16.1
NC_018267.1	1	957990	31	2878	0.300421	0.00341548	35.6	0.71
NC_021084.1	1	1301823	23083	377830	29.0231	2.56445	35.9	11.9
NC_021089.1	1	1295804	4550	47603	3.67363	0.48177	35.9	10.5
NZ_HG810405.1	1	960618	527	2480	0.258167	0.0217683	35.6	11.4
NZ_AP013028.1	1	1250060	545	13307	1.06451	0.0568117	36	14.8
NZ_CM003641.1	1	1133809	6707	135366	11.939	0.850881	35.9	14.2
NZ_CP031221.1	1	1484007	29581	492435	33.1828	2.92268	35.9	9.65
NZ_CP037426.1	1	1352354	4516	66793	4.93902	0.451017	35.9	7.64
