#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	20	1970	0.155389	0.00194592	34.6	12.1
NC_006833.1	1	1080084	4	68	0.00629581	0.000196281	34.4	2
NC_012416.1	1	1445873	6	285	0.0197113	0.000411516	36.3	0
NC_010981.1	1	1482455	64	5937	0.400484	0.00613172	35.3	15.9
NC_018267.1	1	957990	4	369	0.0385181	0.000437374	36.3	0
NC_021084.1	1	1301823	4	211	0.016208	0.000195111	34.1	0
NC_021089.1	1	1295804	4	344	0.0265472	0.000299428	36	7
NZ_HG810405.1	1	960618	14	68	0.00707878	0.000476776	36.3	7.71
NZ_AP013028.1	1	1250060	16	170	0.0135993	0.000657568	33.7	0.25
NZ_CM003641.1	1	1133809	10	183	0.0161403	0.00042688	35.9	4.4
NZ_CP031221.1	1	1484007	158	1658	0.111725	0.0054582	35.4	1.89
NZ_CP037426.1	1	1352354	6	43	0.00317964	0.000190778	36.1	0
