#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	6	525	0.0414109	0.000466957	36.3	7.33
NC_006833.1	1	1080084	109	484	0.0448113	0.00802623	36	20.5
NC_012416.1	1	1445873	8	630	0.0435723	0.000507652	36.6	0
NC_010981.1	1	1482455	15	743	0.0501196	0.00088974	35.2	0.133
NC_018267.1	1	957990	21	688	0.071817	0.00150837	36	10.6
NC_021084.1	1	1301823	2	178	0.0136731	0.000136731	35.7	2
NC_021089.1	1	1295804	8	660	0.0509336	0.000628953	36.7	5.5
NZ_HG810405.1	1	960618	192	658	0.0684976	0.00754514	35.6	11.5
NZ_AP013028.1	1	1250060	16	294	0.0235189	0.000683167	36.3	0
NZ_CM003641.1	1	1133809	29	511	0.0450693	0.00131327	36.1	0.138
NZ_CP031221.1	1	1484007	6	410	0.0276279	0.000369944	36.6	0
NZ_CP037426.1	1	1352354	10	295	0.0218138	0.000460678	36.7	0
