#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	2	201	0.0158545	0.000158545	36.3	0
NC_006833.1	1	1080084	6	43	0.00398117	0.000234241	35.6	0
NC_012416.1	1	1445873	10	580	0.0401142	0.000569206	36.3	0
NC_010981.1	1	1482455	40	432	0.0291409	0.00286619	36	5.6
NC_018267.1	1	957990	41	717	0.0748442	0.00346141	35.8	1.07
NC_021084.1	1	1301823	4	242	0.0185893	0.000218156	35.6	0
NZ_HG810405.1	1	960618	909	698	0.0726616	0.0350087	35.4	10.8
NZ_AP013028.1	1	1250060	16	554	0.0443179	0.00101435	35.7	0.75
NZ_CM003641.1	1	1133809	18	501	0.0441873	0.00149143	36.3	1.11
NZ_CP031221.1	1	1484007	6	182	0.0122641	0.000248651	36.5	0
NZ_CP037426.1	1	1352354	8	366	0.0270639	0.00044441	35.7	1
NC_021089.1	1	1295804	0	0	0	0	0	0
