#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	2	105	0.00828218	0.000162489	36.3	2
NC_006833.1	1	1080084	11	420	0.0388859	0.000661986	35.4	2.36
NC_012416.1	1	1445873	2	43	0.00297398	5.8788e-05	36.3	0
NC_010981.1	1	1482455	2	43	0.00290059	5.80119e-05	37	0
NC_018267.1	1	957990	19	437	0.0456163	0.00140398	36.3	4.21
NC_021084.1	1	1301823	10	225	0.0172835	0.000422484	36.2	0.8
NC_021089.1	1	1295804	2	43	0.0033184	6.63681e-05	35.5	0
NZ_HG810405.1	1	960618	311	176	0.0183215	0.0112594	35.7	10.7
NZ_CM003641.1	1	1133809	4	130	0.0114658	0.000209912	36.4	0
NZ_CP031221.1	1	1484007	2	168	0.0113207	0.000113207	36.8	0
NZ_CP037426.1	1	1352354	61	342	0.0252892	0.00355454	35.8	17.7
NZ_AP013028.1	1	1250060	0	0	0	0	0	0
