#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	2888	67510	5.32505	0.265387	35.2	15.1
NC_006833.1	1	1080084	1811	5383	0.498387	0.117495	35.3	20.4
NC_012416.1	1	1445873	3404	93675	6.47878	0.277421	35.2	8.63
NC_010981.1	1	1482455	61351	1115015	75.2141	5.21937	35.1	15.4
NC_018267.1	1	957990	101	1786	0.186432	0.0066817	34.9	3.74
NC_021084.1	1	1301823	11165	316365	24.3017	1.00066	35.2	8.36
NC_021089.1	1	1295804	1806	46547	3.59213	0.160322	35.2	7.36
NZ_HG810405.1	1	960618	1705	1973	0.205389	0.0611794	35	9.16
NZ_AP013028.1	1	1250060	293	6138	0.491016	0.0193415	34.9	10.5
NZ_CM003641.1	1	1133809	3415	98473	8.68515	0.298728	35.1	9.48
NZ_CP031221.1	1	1484007	14334	351384	23.6781	1.04902	35.2	8.06
NZ_CP037426.1	1	1352354	3209	65652	4.85465	0.26468	35.2	13
