#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	4	366	0.0288693	0.000430673	36.6	0.5
NC_006833.1	1	1080084	2	43	0.00398117	7.96234e-05	36.9	0
NC_012416.1	1	1445873	4	364	0.0251751	0.000251751	36.2	0
NC_010981.1	1	1482455	8	643	0.043374	0.000656344	36.3	18.8
NC_018267.1	1	957990	14	775	0.0808985	0.00114093	35.8	3.43
NC_021084.1	1	1301823	10	195	0.014979	0.00052004	36.4	10
NZ_HG810405.1	1	960618	145	197	0.0205076	0.00526848	35.6	12.2
NZ_AP013028.1	1	1250060	4	43	0.00343983	0.000136793	35.7	0
NZ_CM003641.1	1	1133809	4	331	0.0291936	0.000329862	35.8	0
NZ_CP037426.1	1	1352354	48	295	0.0218138	0.00234554	35.9	13.2
NC_021089.1	1	1295804	0	0	0	0	0	0
NZ_CP031221.1	1	1484007	0	0	0	0	0	0
