#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	3310	70806	5.58503	0.300155	35.3	15.4
NC_006833.1	1	1080084	2597	4595	0.42543	0.159444	35.4	17.4
NC_012416.1	1	1445873	4039	100907	6.97897	0.330019	35.3	8.64
NC_010981.1	1	1482455	74076	1141415	76.9949	6.26806	35.3	15.3
NC_018267.1	1	957990	164	2928	0.30564	0.0127475	34.6	2.02
NC_021084.1	1	1301823	13709	334446	25.6906	1.22886	35.3	8.43
NC_021089.1	1	1295804	2197	51800	3.99752	0.19182	35.3	6.89
NZ_HG810405.1	1	960618	3938	2315	0.240991	0.141934	35.1	9.65
NZ_AP013028.1	1	1250060	776	8163	0.653009	0.0412348	35.2	5.2
NZ_CM003641.1	1	1133809	4529	110796	9.77202	0.380391	35.3	8.36
NZ_CP031221.1	1	1484007	17658	394982	26.6159	1.29127	35.4	7.91
NZ_CP037426.1	1	1352354	4454	69167	5.11456	0.354273	35.4	11.9
