#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	6	43	0.00339175	0.000203505	36.4	0
NC_006833.1	1	1080084	44	392	0.0362935	0.0026035	36	12
NC_012416.1	1	1445873	10	43	0.00297398	0.000296015	36.5	0
NC_010981.1	1	1482455	4	43	0.00290059	0.000114675	36.8	0
NC_018267.1	1	957990	3	37	0.00386225	0.000106473	33.7	22
NC_021084.1	1	1301823	6	43	0.00330306	0.000198184	36	0
NC_021089.1	1	1295804	7	43	0.0033184	0.000227658	36	0
NZ_HG810405.1	1	960618	211	58	0.00603778	0.00758158	35.6	9.99
NZ_AP013028.1	1	1250060	23	43	0.00343983	0.000783162	35.2	0
NZ_CM003641.1	1	1133809	24	43	0.00379253	0.000889921	36.5	0
NZ_CP037426.1	1	1352354	22	217	0.0160461	0.000799347	34.8	0
NZ_CP031221.1	1	1484007	0	0	0	0	0	0
