#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	18	484	0.0381769	0.000957578	36	0
NC_006833.1	1	1080084	60	260	0.0240722	0.00250443	35.3	2
NC_012416.1	1	1445873	12	607	0.0419816	0.000674333	36.4	3.67
NC_010981.1	1	1482455	28	333	0.0224627	0.0014766	36.5	0.214
NC_018267.1	1	957990	10	128	0.0133613	0.000350734	36.1	17.6
NC_021084.1	1	1301823	23	258	0.0198184	0.00104008	36.4	0.087
NC_021089.1	1	1295804	11	409	0.0315634	0.000600399	36.1	0
NZ_HG810405.1	1	960618	367	538	0.0560056	0.0138161	35.2	10.9
NZ_AP013028.1	1	1250060	70	587	0.0469577	0.00280467	36.3	0.743
NZ_CM003641.1	1	1133809	82	43	0.00379253	0.00309135	35.8	0
NZ_CP031221.1	1	1484007	16	329	0.0221697	0.000544472	36.1	2.75
NZ_CP037426.1	1	1352354	66	88	0.00650717	0.00208451	36.3	0.0606
