#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	381252	1225877	96.6946	44.7236	35.8	12.5
NC_006833.1	1	1080084	682	46770	4.33022	0.0770672	35.5	17
NC_012416.1	1	1445873	116609	855583	59.1741	11.8125	35.8	7.44
NC_010981.1	1	1482455	202228	1282179	86.4902	19.8574	35.8	14.2
NC_018267.1	1	957990	159	14655	1.52977	0.0193802	34.9	3.33
NC_021084.1	1	1301823	221553	1170979	89.9492	25.0564	35.8	15.6
NC_021089.1	1	1295804	121985	750031	57.8815	13.6718	35.8	9.74
NZ_HG810405.1	1	960618	984	10582	1.10158	0.0465669	35.1	11.7
NZ_AP013028.1	1	1250060	4403	109028	8.72182	0.464907	35.8	9.7
NZ_CM003641.1	1	1133809	8777	202648	17.8732	1.09174	35.7	15.3
NZ_CP031221.1	1	1484007	64768	678648	45.7308	6.28924	35.8	10.9
NZ_CP037426.1	1	1352354	119004	876013	64.7769	12.8181	35.8	6.27
