#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	1782	40085	3.16182	0.191895	36.1	7.09
NC_006833.1	1	1080084	55	2922	0.270535	0.00514497	35.7	15.2
NC_012416.1	1	1445873	1827	46149	3.19177	0.179922	36.1	6.44
NC_010981.1	1	1482455	114052	1179453	79.5608	11.4202	36	16.2
NC_018267.1	1	957990	6	243	0.0253656	0.000766188	34.4	0
NC_021084.1	1	1301823	13221	322852	24.8	1.46838	36	11.8
NC_021089.1	1	1295804	2663	35232	2.71893	0.283771	36	10.3
NZ_HG810405.1	1	960618	466	888	0.0924405	0.0182091	35.5	12.5
NZ_AP013028.1	1	1250060	288	6230	0.498376	0.029453	36	16.3
NZ_CM003641.1	1	1133809	3734	101944	8.99129	0.474982	36	13.1
NZ_CP031221.1	1	1484007	16911	408129	27.5018	1.66896	36	9.47
NZ_CP037426.1	1	1352354	2389	48591	3.59307	0.238485	36.1	7.95
