#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	2	43	0.00339175	6.7835e-05	34.4	0
NC_006833.1	1	1080084	18	43	0.00398117	0.000703649	35.9	0
NC_012416.1	1	1445873	6	277	0.019158	0.00038316	36.7	0
NC_018267.1	1	957990	2	166	0.0173279	0.000173279	36.9	0
NC_021084.1	1	1301823	4	228	0.0175139	0.000204329	35.6	1
NZ_HG810405.1	1	960618	250	261	0.02717	0.00918992	35.2	10.4
NZ_AP013028.1	1	1250060	12	276	0.0220789	0.000523975	36.2	0
NZ_CM003641.1	1	1133809	12	43	0.00379253	0.000455103	35.7	0
NZ_CP037426.1	1	1352354	28	43	0.00317964	0.000876989	35.3	0
NC_010981.1	1	1482455	0	0	0	0	0	0
NC_021089.1	1	1295804	0	0	0	0	0	0
NZ_CP031221.1	1	1484007	0	0	0	0	0	0
