#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	2	43	0.00339175	6.70462e-05	36.3	0
NC_006833.1	1	1080084	6	153	0.0141656	0.000372193	35.8	8
NC_012416.1	1	1445873	3	43	0.00297398	8.78362e-05	35.7	0
NC_018267.1	1	957990	4	135	0.014092	0.000231735	36	1
NC_021084.1	1	1301823	10	195	0.014979	0.000533867	36	2
NC_021089.1	1	1295804	1	43	0.0033184	3.3184e-05	29	0
NZ_HG810405.1	1	960618	268	470	0.0489268	0.00978641	35.4	10.2
NZ_AP013028.1	1	1250060	4	43	0.00343983	0.000136793	36.1	0
NZ_CP031221.1	1	1484007	4	302	0.0203503	0.000226414	35.4	11
NZ_CP037426.1	1	1352354	34	148	0.0109439	0.00177025	35.8	13.6
NC_010981.1	1	1482455	0	0	0	0	0	0
NZ_CM003641.1	1	1133809	0	0	0	0	0	0
