#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	4	229	0.018063	0.000214548	36.7	0
NC_006833.1	1	1080084	16	43	0.00398117	0.000627729	36.4	0
NC_012416.1	1	1445873	8	617	0.0426732	0.000452322	36.4	0
NC_010981.1	1	1482455	2	43	0.00290059	5.39645e-05	36.2	0
NC_018267.1	1	957990	8	565	0.0589777	0.000638838	36.3	0.5
NC_021084.1	1	1301823	3	179	0.0137499	0.000137499	35.1	0
NC_021089.1	1	1295804	14	480	0.0370426	0.000900599	36.4	1.14
NZ_HG810405.1	1	960618	123	285	0.0296684	0.00442944	35.3	6.7
NZ_AP013028.1	1	1250060	26	764	0.0611171	0.00149433	36.5	2.46
NZ_CM003641.1	1	1133809	28	878	0.0774381	0.00165107	36	1.71
NZ_CP031221.1	1	1484007	57	133	0.00896222	0.00164015	36.2	1.33
NZ_CP037426.1	1	1352354	10	43	0.00317964	0.000315006	35.7	0
