#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	4	196	0.0154601	0.000265819	36.2	1
NC_006833.1	1	1080084	54	290	0.0268498	0.00254517	33.6	11.1
NC_012416.1	1	1445873	3	101	0.0069854	0.000103744	36.5	14.7
NC_010981.1	1	1482455	5	189	0.0127491	0.000271846	36.6	11.2
NC_018267.1	1	957990	10	102	0.0106473	0.000433199	35.8	9.6
NC_021084.1	1	1301823	6	688	0.052849	0.00052849	36.8	2
NZ_HG810405.1	1	960618	705	567	0.0590245	0.0266797	35.2	13.8
NZ_AP013028.1	1	1250060	10	253	0.020239	0.000465578	35.3	9.2
NZ_CM003641.1	1	1133809	5	418	0.0368669	0.000368669	36.3	0
NZ_CP031221.1	1	1484007	34	107	0.00721021	0.000964281	33.2	6.29
NZ_CP037426.1	1	1352354	6	449	0.0332014	0.000362331	34.2	0
NC_021089.1	1	1295804	0	0	0	0	0	0
