#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	10	1044	0.0823485	0.000870023	34.1	7.6
NC_006833.1	1	1080084	4	43	0.00398117	0.000157395	35.2	0
NC_012416.1	1	1445873	8	708	0.048967	0.00055814	35.1	0.5
NC_010981.1	1	1482455	2	117	0.00789231	7.89231e-05	34.1	0
NC_018267.1	1	957990	74	161	0.016806	0.00611906	35.6	0
NC_021084.1	1	1301823	12	268	0.0205865	0.000573043	36.3	0.167
NC_021089.1	1	1295804	12	818	0.0631268	0.000978543	33.9	8.5
NZ_HG810405.1	1	960618	198	200	0.0208199	0.0111491	35.7	6.02
NZ_AP013028.1	1	1250060	10	224	0.0179191	0.000539174	36.8	0
NZ_CM003641.1	1	1133809	8	474	0.041806	0.00105309	36.2	16.2
NZ_CP031221.1	1	1484007	2	104	0.00700805	9.973e-05	36.6	0
NZ_CP037426.1	1	1352354	48	1046	0.0773466	0.00298147	36	3.17
