#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	233	20457	1.61361	0.0258018	35.6	16.6
NC_006833.1	1	1080084	26	1523	0.141008	0.00236648	35.2	16.5
NC_012416.1	1	1445873	279	25576	1.7689	0.0271967	35.5	9.31
NC_010981.1	1	1482455	6084	464752	31.3502	0.607812	35.5	15.6
NC_021084.1	1	1301823	799	68108	5.23174	0.0890398	35.4	10.4
NC_021089.1	1	1295804	160	14564	1.12394	0.0173097	35.4	6.69
NZ_HG810405.1	1	960618	18	118	0.0122838	0.000688099	36.1	12.7
NZ_AP013028.1	1	1250060	12	827	0.0661568	0.000983953	35.9	11
NZ_CM003641.1	1	1133809	203	15043	1.32677	0.02514	35.4	15
NZ_CP031221.1	1	1484007	991	85847	5.78481	0.095976	35.3	10
NZ_CP037426.1	1	1352354	327	24585	1.81794	0.0330328	35.6	11
NC_018267.1	1	957990	0	0	0	0	0	0
