#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	90797	1168623	92.1785	10.653	35.9	12.5
NC_006833.1	1	1080084	148	4861	0.450058	0.0147285	36.2	16.3
NC_012416.1	1	1445873	22654	632309	43.732	2.31017	35.9	6.02
NC_010981.1	1	1482455	6644	106598	7.19064	0.626371	35.9	10.1
NC_018267.1	1	957990	52	2418	0.252403	0.00571092	36	2.12
NC_021084.1	1	1301823	5400	64671	4.96773	0.596931	35.9	11.4
NC_021089.1	1	1295804	20268	552432	42.6324	2.30908	35.9	5.26
NZ_HG810405.1	1	960618	220	1119	0.116488	0.00947515	35.7	9.35
NZ_AP013028.1	1	1250060	324	10115	0.809161	0.0295466	36	18
NZ_CM003641.1	1	1133809	164	7307	0.644465	0.0177164	35.9	8.72
NZ_CP031221.1	1	1484007	4211	55125	3.71461	0.408601	35.9	11.9
NZ_CP037426.1	1	1352354	25381	673470	49.7998	2.76393	35.9	4.87
