#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	28	826	0.0651532	0.00146634	36.2	0.286
NC_006833.1	1	1080084	40	716	0.0662911	0.00209521	34.7	2.6
NC_012416.1	1	1445873	14	534	0.0369327	0.000763553	36.5	0
NC_010981.1	1	1482455	17	1438	0.0970013	0.0012223	36.3	7.71
NC_018267.1	1	957990	34	1124	0.117329	0.00248437	36.2	3.88
NC_021084.1	1	1301823	11	833	0.0639872	0.000732819	35.6	1.27
NC_021089.1	1	1295804	6	270	0.0208365	0.00030946	33	0
NZ_HG810405.1	1	960618	274	1389	0.144594	0.0117456	35.7	10.6
NZ_AP013028.1	1	1250060	34	1091	0.0872758	0.00233829	36	0.824
NZ_CM003641.1	1	1133809	28	863	0.0761151	0.00171281	36.1	0
NZ_CP031221.1	1	1484007	7	202	0.0136118	0.000251347	36.3	0
NZ_CP037426.1	1	1352354	33	928	0.0686211	0.00177838	36	0.0606
