#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	210	3821	0.301393	0.0178974	36.2	0.524
NC_006833.1	1	1080084	275	2799	0.259147	0.0245435	36.1	3.65
NC_012416.1	1	1445873	164	3206	0.221735	0.0111476	36	0.0366
NC_010981.1	1	1482455	95	2695	0.181793	0.00686564	36.2	1.12
NC_018267.1	1	957990	360	2932	0.306057	0.0380495	36.3	0.211
NC_021084.1	1	1301823	52	1654	0.127053	0.00345131	35.9	0.615
NC_021089.1	1	1295804	71	2248	0.173483	0.00532025	36.2	2.45
NZ_HG810405.1	1	960618	3002	2688	0.27982	0.13584	35.4	11.6
NZ_AP013028.1	1	1250060	225	2998	0.239828	0.017012	35.9	1.9
NZ_CM003641.1	1	1133809	138	2072	0.182747	0.0101225	36.3	1.96
NZ_CP031221.1	1	1484007	70	1879	0.126617	0.00483151	36.1	0.829
NZ_CP037426.1	1	1352354	202	2439	0.180352	0.014213	36.3	0
