#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	81	2457	0.193803	0.00483127	35.6	4.84
NC_006833.1	1	1080084	156	778	0.0720314	0.00675966	35.7	1.05
NC_012416.1	1	1445873	63	951	0.0657734	0.00265583	35.7	0.952
NC_010981.1	1	1482455	71	1504	0.101453	0.00276298	35.5	2.37
NC_018267.1	1	957990	27	393	0.0410234	0.0014259	35.7	5.19
NC_021084.1	1	1301823	58	764	0.0586869	0.00231214	35.9	0.897
NC_021089.1	1	1295804	52	325	0.025081	0.00188223	35.4	0.308
NZ_HG810405.1	1	960618	719	749	0.0779706	0.0248528	35.3	7.25
NZ_AP013028.1	1	1250060	191	984	0.0787162	0.00722525	35.5	1.26
NZ_CM003641.1	1	1133809	201	354	0.0312222	0.00756388	35.5	0.229
NZ_CP031221.1	1	1484007	583	602	0.0405658	0.0168139	35.8	1.98
NZ_CP037426.1	1	1352354	236	1453	0.107442	0.00819238	35.5	0.0381
