#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	131	2709	0.21368	0.0109025	36	0.962
NC_006833.1	1	1080084	249	2574	0.238315	0.0221622	36	12.7
NC_012416.1	1	1445873	108	2614	0.18079	0.00787898	36.2	0.407
NC_010981.1	1	1482455	54	2372	0.160005	0.0041519	36.2	0.37
NC_018267.1	1	957990	160	2808	0.293114	0.0165012	35.8	1.21
NC_021084.1	1	1301823	77	2788	0.214161	0.00582952	35.9	3.74
NC_021089.1	1	1295804	33	1293	0.0997836	0.00223722	36	2.91
NZ_HG810405.1	1	960618	313	2462	0.256293	0.0217381	35.7	6.79
NZ_AP013028.1	1	1250060	187	3431	0.274467	0.0149785	36.1	2.15
NZ_CM003641.1	1	1133809	71	2333	0.205767	0.00621886	36	0.901
NZ_CP031221.1	1	1484007	44	1754	0.118194	0.00327357	36.1	0.455
NZ_CP037426.1	1	1352354	111	1865	0.137908	0.00825228	36	0
