#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	8	336	0.026503	0.000544258	36.6	0
NC_006833.1	1	1080084	30	165	0.0152766	0.00139711	36.4	4.4
NC_012416.1	1	1445873	10	395	0.0273191	0.00043019	36.6	0
NC_010981.1	1	1482455	10	360	0.024284	0.000584841	36.4	1.2
NC_018267.1	1	957990	12	489	0.0510444	0.00073174	36.3	11.3
NC_021084.1	1	1301823	10	43	0.00330306	0.000324161	35.8	0
NC_021089.1	1	1295804	12	343	0.0264701	0.000589595	35.9	0.333
NZ_HG810405.1	1	960618	257	1130	0.117633	0.00983221	35	8.1
NZ_AP013028.1	1	1250060	24	631	0.0504776	0.00106955	35.9	0.333
NZ_CM003641.1	1	1133809	18	267	0.0235489	0.0008273	36.6	0
NZ_CP031221.1	1	1484007	10	280	0.0188678	0.000328166	32.8	8.8
NZ_CP037426.1	1	1352354	18	429	0.0317225	0.000834101	36.1	0
