#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	8	67	0.00528482	0.00034233	34	0
NC_006833.1	1	1080084	18	319	0.0295347	0.00103696	35	14.7
NC_012416.1	1	1445873	2	43	0.00297398	5.94796e-05	36.2	0
NC_010981.1	1	1482455	6	289	0.0194947	0.000416202	35.9	0
NZ_HG810405.1	1	960618	292	249	0.0259208	0.0108847	35.2	12.2
NZ_AP013028.1	1	1250060	10	111	0.00887957	0.000383982	35.9	4.4
NZ_CM003641.1	1	1133809	10	43	0.00379253	0.000376607	36.2	0
NZ_CP031221.1	1	1484007	2	43	0.00289756	5.79512e-05	37	0
NZ_CP037426.1	1	1352354	18	110	0.00813396	0.000594519	36.2	0
NC_018267.1	1	957990	0	0	0	0	0	0
NC_021084.1	1	1301823	0	0	0	0	0	0
NC_021089.1	1	1295804	0	0	0	0	0	0
