#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	2	43	0.00339175	6.7835e-05	36.9	0
NC_006833.1	1	1080084	6	43	0.00398117	0.000236093	35.1	0
NC_012416.1	1	1445873	1	51	0.00352728	3.52728e-05	34.1	0
NC_010981.1	1	1482455	8	78	0.00526154	0.000209787	36.6	11
NC_018267.1	1	957990	17	35	0.00365348	0.000546979	35.4	19.6
NC_021089.1	1	1295804	12	42	0.00324123	0.000370426	36.1	4.33
NZ_HG810405.1	1	960618	732	102	0.0106182	0.0269566	35.4	12.8
NZ_AP013028.1	1	1250060	4	105	0.0083996	0.000167992	36.9	11
NZ_CM003641.1	1	1133809	6	43	0.00379253	0.000224024	36.3	0
NZ_CP037426.1	1	1352354	6	248	0.0183384	0.000278773	36.4	0
NC_021084.1	1	1301823	0	0	0	0	0	0
NZ_CP031221.1	1	1484007	0	0	0	0	0	0
