#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	53	5078	0.400542	0.00536764	36	6.09
NC_006833.1	1	1080084	16	795	0.0736054	0.000996219	35.9	3.25
NC_012416.1	1	1445873	46	4712	0.325893	0.0043759	35.5	6.09
NC_010981.1	1	1482455	2471	237543	16.0236	0.246652	36	16.7
NC_018267.1	1	957990	6	44	0.00459295	0.000244261	35.4	7.33
NC_021084.1	1	1301823	361	35389	2.71842	0.0397527	36	10
NC_021089.1	1	1295804	69	5585	0.431007	0.00686138	36.2	6.83
NZ_HG810405.1	1	960618	282	371	0.038621	0.0105245	35.4	11.8
NZ_AP013028.1	1	1250060	37	1355	0.108395	0.00225189	35.1	7.78
NZ_CM003641.1	1	1133809	86	8002	0.705763	0.0103695	35.9	13.3
NZ_CP031221.1	1	1484007	368	38537	2.59682	0.0359493	36	8.4
NZ_CP037426.1	1	1352354	105	10115	0.747955	0.00963727	36	7.65
