#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	6196	217458	17.1526	0.604856	35.2	14.1
NC_006833.1	1	1080084	1139	4655	0.430985	0.0713028	35.2	18.2
NC_012416.1	1	1445873	5843	156437	10.8196	0.492554	35.2	8.22
NC_010981.1	1	1482455	93474	1165784	78.6387	8.13588	35.2	15.6
NC_018267.1	1	957990	153	2525	0.263573	0.0129928	35.4	1.28
NC_021084.1	1	1301823	16510	371630	28.5469	1.52654	35.2	9.01
NC_021089.1	1	1295804	3369	91946	7.09567	0.313056	35.2	7.07
NZ_HG810405.1	1	960618	2142	2770	0.288356	0.0786379	35	9.2
NZ_AP013028.1	1	1250060	540	9179	0.734285	0.0357207	35.3	9.84
NZ_CM003641.1	1	1133809	4472	115936	10.2254	0.420369	35.2	10
NZ_CP031221.1	1	1484007	19646	431533	29.0789	1.56587	35.2	8.56
NZ_CP037426.1	1	1352354	5775	121082	8.95342	0.498552	35.3	11.5
