#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	4	305	0.0240578	0.000382558	36.4	0
NC_006833.1	1	1080084	12	514	0.0475889	0.00115824	35.3	2
NC_012416.1	1	1445873	10	663	0.0458546	0.000708914	35.8	4.4
NC_010981.1	1	1482455	4	491	0.0331207	0.000331207	36.8	2
NC_018267.1	1	957990	7	387	0.0403971	0.000542803	35.1	6.57
NC_021084.1	1	1301823	6	456	0.0350278	0.000463197	36.5	0.333
NC_021089.1	1	1295804	2	43	0.0033184	6.63681e-05	36.9	0
NZ_HG810405.1	1	960618	459	562	0.058504	0.0172243	35.3	11
NZ_AP013028.1	1	1250060	12	525	0.041998	0.000859959	35.9	1.33
NZ_CM003641.1	1	1133809	12	930	0.0820244	0.000974591	36.1	0.667
NZ_CP031221.1	1	1484007	10	475	0.0320079	0.000439351	35.2	5.2
NZ_CP037426.1	1	1352354	4	179	0.0132362	0.000263245	35.9	0
