#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	28	1181	0.0931548	0.0021865	36.2	0.286
NC_006833.1	1	1080084	48	1075	0.0995293	0.0035775	36.1	1.54
NC_012416.1	1	1445873	16	744	0.0514568	0.00131616	36.5	0
NC_010981.1	1	1482455	17	919	0.0619918	0.000893113	36.6	0.353
NC_018267.1	1	957990	34	1527	0.159396	0.00351048	36.3	0
NC_021084.1	1	1301823	24	563	0.043247	0.00141571	36.4	1
NC_021089.1	1	1295804	14	552	0.042599	0.000679887	36.3	3.71
NZ_HG810405.1	1	960618	248	1790	0.186338	0.0123212	35.9	4.67
NZ_AP013028.1	1	1250060	46	1424	0.113915	0.00335904	35.7	1.13
NZ_CM003641.1	1	1133809	43	921	0.0812306	0.00248984	36.3	0.837
NZ_CP031221.1	1	1484007	11	292	0.0196765	0.000378031	35.8	0
NZ_CP037426.1	1	1352354	35	1531	0.11321	0.00255111	36.3	0.0571
