#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	148961	1182414	93.2664	17.5058	35.6	12.3
NC_006833.1	1	1080084	240	9243	0.855767	0.0236491	35.7	10.8
NC_012416.1	1	1445873	34833	659948	45.6436	3.5505	35.6	6.41
NC_010981.1	1	1482455	5311	89821	6.05894	0.501834	35.6	9.78
NC_018267.1	1	957990	172	4964	0.518168	0.0178186	36	3.77
NC_021084.1	1	1301823	3307	41713	3.2042	0.357242	35.6	11.9
NC_021089.1	1	1295804	33433	610383	47.1046	3.82507	35.6	5.16
NZ_HG810405.1	1	960618	2996	3362	0.349983	0.117873	35.5	11.4
NZ_AP013028.1	1	1250060	515	17307	1.38449	0.0459978	35.7	15.6
NZ_CM003641.1	1	1133809	234	9876	0.871046	0.0235613	35.4	7.6
NZ_CP031221.1	1	1484007	3289	42091	2.83631	0.313306	35.6	12.8
NZ_CP037426.1	1	1352354	39023	723012	53.4632	4.26106	35.6	4.57
