#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	479	25477	2.00957	0.0529089	36	5.76
NC_006833.1	1	1080084	23	1490	0.137952	0.00175542	36.2	11.2
NC_012416.1	1	1445873	719	34418	2.38043	0.0714233	36.1	8.05
NC_010981.1	1	1482455	26737	1046311	70.5796	2.6752	35.9	16
NC_018267.1	1	957990	10	617	0.0644057	0.00101984	36.1	9
NC_021084.1	1	1301823	3781	204311	15.6942	0.419585	35.9	11.4
NC_021089.1	1	1295804	772	27357	2.1112	0.0829809	36	9.72
NZ_HG810405.1	1	960618	258	1008	0.104932	0.010259	35.6	9.8
NZ_AP013028.1	1	1250060	89	4970	0.397581	0.00857319	36	10.1
NZ_CM003641.1	1	1133809	946	57872	5.10421	0.119054	35.9	13.6
NZ_CP031221.1	1	1484007	4225	244975	16.5077	0.417385	36	9.99
NZ_CP037426.1	1	1352354	1190	43167	3.19199	0.121572	36	8.54
