#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	316117	1217787	96.0565	37.103	35.9	12.6
NC_006833.1	1	1080084	330	19321	1.78884	0.0379017	35.8	16.2
NC_012416.1	1	1445873	90263	818507	56.6099	9.17303	35.9	7.23
NC_010981.1	1	1482455	130724	1263909	85.2578	12.8456	35.9	14.4
NC_018267.1	1	957990	54	5712	0.596248	0.00711385	35.9	4.37
NC_021084.1	1	1301823	109424	1146183	88.0445	12.3459	35.9	15.2
NC_021089.1	1	1295804	90159	714661	55.1519	10.176	35.9	7.75
NZ_HG810405.1	1	960618	592	6609	0.687995	0.0274209	35.4	11.3
NZ_AP013028.1	1	1250060	2336	67491	5.39902	0.244655	35.9	12.3
NZ_CM003641.1	1	1133809	4490	139811	12.3311	0.560624	35.8	14.6
NZ_CP031221.1	1	1484007	38901	584083	39.3585	3.78462	35.9	11.2
NZ_CP037426.1	1	1352354	94053	841138	62.1981	10.1717	35.8	5.9
