#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	18	1664	0.131253	0.00190017	36.1	6.44
NC_006833.1	1	1080084	10	43	0.00398117	0.000396265	35	0
NC_012416.1	1	1445873	26	1375	0.0950983	0.00166958	36.1	0.231
NC_018267.1	1	957990	72	381	0.0397708	0.00589255	36	0
NC_021084.1	1	1301823	12	461	0.0354119	0.000671366	35	2.5
NC_021089.1	1	1295804	26	470	0.0362709	0.0012417	36.1	7.08
NZ_HG810405.1	1	960618	350	471	0.0490309	0.0175231	35.6	7.75
NZ_AP013028.1	1	1250060	40	903	0.0722365	0.00222229	36.2	3.5
NZ_CM003641.1	1	1133809	22	251	0.0221378	0.000934902	36.1	0
NZ_CP031221.1	1	1484007	10	152	0.0102425	0.000477761	34.7	5.6
NZ_CP037426.1	1	1352354	80	1192	0.0881426	0.00462823	36	2.77
NC_010981.1	1	1482455	0	0	0	0	0	0
