#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	27	1218	0.0960733	0.00188597	36.6	0.148
NC_006833.1	1	1080084	77	1561	0.144526	0.00553198	36.2	2.13
NC_012416.1	1	1445873	33	1176	0.0813349	0.0019815	36.6	0
NC_010981.1	1	1482455	13	656	0.0442509	0.000794628	35.9	2.62
NC_018267.1	1	957990	40	1385	0.144574	0.00417645	36.4	0.2
NC_021084.1	1	1301823	5	95	0.00729746	0.000172066	36.7	0
NC_021089.1	1	1295804	13	796	0.061429	0.000736994	36.7	0.615
NZ_HG810405.1	1	960618	238	1362	0.141784	0.0109398	35.5	7.35
NZ_AP013028.1	1	1250060	43	583	0.0466378	0.00176952	36.2	1.21
NZ_CM003641.1	1	1133809	31	618	0.0545065	0.0014244	35.7	0.71
NZ_CP031221.1	1	1484007	12	370	0.0249325	0.000471022	36.2	0.333
NZ_CP037426.1	1	1352354	34	925	0.0683993	0.00168003	35.6	0
