#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	439075	1217360	96.0228	51.6272	35.9	12.9
NC_006833.1	1	1080084	620	45270	4.19134	0.0717861	35.8	17.4
NC_012416.1	1	1445873	107173	826412	57.1566	10.9467	36	6.4
NC_010981.1	1	1482455	34158	354511	23.9138	3.22281	35.9	10.1
NC_018267.1	1	957990	252	17601	1.83728	0.029589	35.7	1.82
NC_021084.1	1	1301823	40670	865746	66.5026	4.55323	35.9	13.3
NC_021089.1	1	1295804	96353	743251	57.3583	11.0079	35.9	5.77
NZ_HG810405.1	1	960618	350	14109	1.46874	0.029989	35.8	5.65
NZ_AP013028.1	1	1250060	1620	63407	5.07232	0.163267	36	18
NZ_CM003641.1	1	1133809	1312	67468	5.95056	0.158314	35.9	13.2
NZ_CP031221.1	1	1484007	22462	245404	16.5366	2.18181	36	11.4
NZ_CP037426.1	1	1352354	121338	869359	64.2849	13.2354	35.9	5.29
